operation_id,year,scope1_tco2e,scope2_tco2e,scope3_tco2e,production_tonnes,region,operation_type
OP-SUMATRA-001,2023,8500,4200,6800,50000,Indonesia,Surface_Mine
OP-SUMATRA-001,2024,8200,4000,6500,52000,Indonesia,Surface_Mine
OP-SUMATRA-001,2025,7900,3800,6200,54000,Indonesia,Surface_Mine
OP-KALIMANTAN-001,2023,12000,5800,9500,75000,Indonesia,Underground_Mine
OP-KALIMANTAN-001,2024,11500,5500,9200,78000,Indonesia,Underground_Mine
OP-KALIMANTAN-001,2025,11000,5200,8900,80000,Indonesia,Underground_Mine
OP-AUSTRALIA-001,2023,15000,7500,12000,100000,Australia,Large_Mine
OP-AUSTRALIA-001,2024,14200,7100,11500,105000,Australia,Large_Mine
OP-AUSTRALIA-001,2025,13500,6800,11000,110000,Australia,Large_Mine
OP-COLOMBIA-001,2023,9000,4500,7200,60000,Colombia,Surface_Mine
OP-COLOMBIA-001,2024,8700,4300,7000,62000,Colombia,Surface_Mine
OP-COLOMBIA-001,2025,8400,4100,6800,64000,Colombia,Surface_Mine
